serial,00bkg,01body,02cheeks,03eye,04beak,05face,06hat,07clothes,dna
19,bkg03,body01,NONE,Eye06,Beak04,face01,hat04,clothes43,bkg03--body01--NONE--Eye06--Beak04--face01--hat04--clothes43
20,bkg02,body01,NONE,Eye08,Beak03,face10,hat05,clothes37,bkg02--body01--NONE--Eye08--Beak03--face10--hat05--clothes37
21,bkg06,body01,cheeks05,Eye08,Beak01,face04,hat46,clothes36,bkg06--body01--cheeks05--Eye08--Beak01--face04--hat46--clothes36
22,bkg05,body01,cheeks02,Eye18,Beak10,NONE,hat08,clothes09,bkg05--body01--cheeks02--Eye18--Beak10--NONE--hat08--clothes09
23,bkg05,body01,cheeks11,Eye20,Beak11,face06,hat34,clothes57,bkg05--body01--cheeks11--Eye20--Beak11--face06--hat34--clothes57
24,bkg06,body01,cheeks02,Eye20,Beak01,face05,hat08,clothes02,bkg06--body01--cheeks02--Eye20--Beak01--face05--hat08--clothes02
25,bkg02,body01,cheeks11,Eye01,Beak04,face05,hat84,clothes69,bkg02--body01--cheeks11--Eye01--Beak04--face05--hat84--clothes69
26,bkg02,body01,cheeks04,Eye02,Beak02,face01,hat77,clothes59,bkg02--body01--cheeks04--Eye02--Beak02--face01--hat77--clothes59
27,bkg05,body01,cheeks02,Eye06,Beak01,NONE,hat83,clothes12,bkg05--body01--cheeks02--Eye06--Beak01--NONE--hat83--clothes12
28,bkg07,body01,NONE,Eye15,Beak12,NONE,hat71,clothes75,bkg07--body01--NONE--Eye15--Beak12--NONE--hat71--clothes75
29,bkg01,body01,NONE,Eye06,Beak04,NONE,hat16,clothes24,bkg01--body01--NONE--Eye06--Beak04--NONE--hat16--clothes24
30,bkg04,body01,cheeks05,Eye02,Beak08,face01,hat39,clothes06,bkg04--body01--cheeks05--Eye02--Beak08--face01--hat39--clothes06
31,bkg05,body01,cheeks08,Eye25,Beak13,face07,hat26,clothes05,bkg05--body01--cheeks08--Eye25--Beak13--face07--hat26--clothes05
32,bkg05,body01,NONE,Eye30,Beak03,face07,hat53,clothes72,bkg05--body01--NONE--Eye30--Beak03--face07--hat53--clothes72
33,bkg03,body01,cheeks03,Eye01,Beak05,face04,hat28,clothes40,bkg03--body01--cheeks03--Eye01--Beak05--face04--hat28--clothes40
34,bkg03,body01,cheeks10,Eye06,Beak01,NONE,hat05,clothes51,bkg03--body01--cheeks10--Eye06--Beak01--NONE--hat05--clothes51
35,bkg07,body01,NONE,Eye08,Beak13,NONE,hat15,clothes44,bkg07--body01--NONE--Eye08--Beak13--NONE--hat15--clothes44
36,bkg02,body01,cheeks05,Eye22,Beak03,face05,hat33,clothes40,bkg02--body01--cheeks05--Eye22--Beak03--face05--hat33--clothes40
37,bkg07,body01,cheeks10,Eye30,Beak02,face07,NONE,clothes14,bkg07--body01--cheeks10--Eye30--Beak02--face07--NONE--clothes14
38,bkg06,body01,NONE,Eye21,Beak11,face10,hat31,clothes46,bkg06--body01--NONE--Eye21--Beak11--face10--hat31--clothes46
39,bkg03,body01,cheeks05,Eye06,Beak04,NONE,NONE,clothes51,bkg03--body01--cheeks05--Eye06--Beak04--NONE--NONE--clothes51
40,bkg01,body01,cheeks06,Eye11,Beak13,NONE,hat69,clothes23,bkg01--body01--cheeks06--Eye11--Beak13--NONE--hat69--clothes23
41,bkg06,body01,cheeks13,Eye30,Beak03,face01,hat38,clothes36,bkg06--body01--cheeks13--Eye30--Beak03--face01--hat38--clothes36
42,bkg06,body01,cheeks06,Eye07,Beak01,face03,hat45,clothes24,bkg06--body01--cheeks06--Eye07--Beak01--face03--hat45--clothes24
43,bkg01,body01,cheeks09,Eye27,Beak13,NONE,hat42,clothes56,bkg01--body01--cheeks09--Eye27--Beak13--NONE--hat42--clothes56
44,bkg07,body01,cheeks12,Eye24,Beak04,NONE,hat79,clothes44,bkg07--body01--cheeks12--Eye24--Beak04--NONE--hat79--clothes44
45,bkg05,body01,cheeks12,Eye07,Beak13,face01,hat31,clothes75,bkg05--body01--cheeks12--Eye07--Beak13--face01--hat31--clothes75
46,bkg03,body01,NONE,Eye11,Beak12,NONE,hat06,clothes64,bkg03--body01--NONE--Eye11--Beak12--NONE--hat06--clothes64
47,bkg06,body01,cheeks08,Eye01,Beak09,NONE,hat32,clothes38,bkg06--body01--cheeks08--Eye01--Beak09--NONE--hat32--clothes38
48,bkg03,body01,NONE,Eye02,Beak02,NONE,hat72,clothes14,bkg03--body01--NONE--Eye02--Beak02--NONE--hat72--clothes14
49,bkg05,body01,cheeks08,Eye03,Beak11,NONE,NONE,clothes33,bkg05--body01--cheeks08--Eye03--Beak11--NONE--NONE--clothes33
50,bkg05,body01,cheeks05,Eye17,Beak10,face10,hat77,clothes02,bkg05--body01--cheeks05--Eye17--Beak10--face10--hat77--clothes02
51,bkg02,body01,cheeks08,Eye08,Beak04,NONE,hat17,clothes14,bkg02--body01--cheeks08--Eye08--Beak04--NONE--hat17--clothes14
52,bkg03,body01,cheeks11,Eye24,Beak01,NONE,hat30,clothes31,bkg03--body01--cheeks11--Eye24--Beak01--NONE--hat30--clothes31
53,bkg06,body01,cheeks03,Eye18,Beak08,NONE,hat12,clothes44,bkg06--body01--cheeks03--Eye18--Beak08--NONE--hat12--clothes44
54,bkg05,body01,NONE,Eye04,Beak03,face03,hat09,clothes44,bkg05--body01--NONE--Eye04--Beak03--face03--hat09--clothes44
55,bkg04,body01,cheeks04,Eye08,Beak13,NONE,hat14,clothes06,bkg04--body01--cheeks04--Eye08--Beak13--NONE--hat14--clothes06
56,bkg03,body01,cheeks12,Eye24,Beak04,NONE,NONE,clothes66,bkg03--body01--cheeks12--Eye24--Beak04--NONE--NONE--clothes66
57,bkg06,body01,cheeks05,Eye01,Beak03,NONE,hat68,clothes05,bkg06--body01--cheeks05--Eye01--Beak03--NONE--hat68--clothes05
58,bkg07,body01,cheeks11,Eye28,Beak12,face04,hat66,clothes58,bkg07--body01--cheeks11--Eye28--Beak12--face04--hat66--clothes58
59,bkg04,body01,cheeks06,Eye06,Beak08,NONE,hat01,clothes30,bkg04--body01--cheeks06--Eye06--Beak08--NONE--hat01--clothes30
60,bkg05,body01,cheeks05,Eye29,Beak09,NONE,NONE,clothes19,bkg05--body01--cheeks05--Eye29--Beak09--NONE--NONE--clothes19
61,bkg01,body01,cheeks1,Eye11,Beak09,NONE,hat23,clothes39,bkg01--body01--cheeks1--Eye11--Beak09--NONE--hat23--clothes39
62,bkg03,body01,cheeks05,Eye19,Beak01,NONE,hat33,clothes62,bkg03--body01--cheeks05--Eye19--Beak01--NONE--hat33--clothes62
63,bkg07,body01,cheeks11,Eye07,Beak02,NONE,hat04,clothes19,bkg07--body01--cheeks11--Eye07--Beak02--NONE--hat04--clothes19
64,bkg04,body01,cheeks03,Eye06,Beak05,face01,hat68,clothes01,bkg04--body01--cheeks03--Eye06--Beak05--face01--hat68--clothes01
65,bkg01,body01,cheeks11,Eye03,Beak03,NONE,hat10,clothes13,bkg01--body01--cheeks11--Eye03--Beak03--NONE--hat10--clothes13
66,bkg03,body01,NONE,Eye05,Beak09,NONE,hat19,clothes46,bkg03--body01--NONE--Eye05--Beak09--NONE--hat19--clothes46
67,bkg04,body01,NONE,Eye04,Beak02,NONE,hat83,clothes54,bkg04--body01--NONE--Eye04--Beak02--NONE--hat83--clothes54
68,bkg07,body01,cheeks10,Eye24,Beak06,NONE,hat51,clothes65,bkg07--body01--cheeks10--Eye24--Beak06--NONE--hat51--clothes65
69,bkg01,body01,cheeks12,Eye08,Beak11,NONE,hat47,clothes53,bkg01--body01--cheeks12--Eye08--Beak11--NONE--hat47--clothes53
70,bkg03,body01,cheeks04,Eye21,Beak05,NONE,hat15,clothes73,bkg03--body01--cheeks04--Eye21--Beak05--NONE--hat15--clothes73
71,bkg05,body01,cheeks08,Eye25,Beak07,NONE,hat61,clothes65,bkg05--body01--cheeks08--Eye25--Beak07--NONE--hat61--clothes65
72,bkg04,body01,cheeks12,Eye11,Beak12,face06,hat22,clothes08,bkg04--body01--cheeks12--Eye11--Beak12--face06--hat22--clothes08
73,bkg01,body01,NONE,Eye07,Beak11,NONE,hat70,clothes38,bkg01--body01--NONE--Eye07--Beak11--NONE--hat70--clothes38
74,bkg01,body01,cheeks10,Eye07,Beak01,face10,NONE,clothes33,bkg01--body01--cheeks10--Eye07--Beak01--face10--NONE--clothes33
75,bkg06,body01,cheeks10,Eye21,Beak02,face04,hat68,clothes65,bkg06--body01--cheeks10--Eye21--Beak02--face04--hat68--clothes65
76,bkg02,body01,NONE,Eye26,Beak01,NONE,hat69,clothes13,bkg02--body01--NONE--Eye26--Beak01--NONE--hat69--clothes13
77,bkg03,body01,cheeks13,Eye10,Beak01,face01,hat35,NONE,bkg03--body01--cheeks13--Eye10--Beak01--face01--hat35--NONE
78,bkg03,body01,NONE,Eye05,Beak05,NONE,hat29,clothes50,bkg03--body01--NONE--Eye05--Beak05--NONE--hat29--clothes50
79,bkg07,body01,cheeks08,Eye15,Beak13,NONE,hat16,clothes70,bkg07--body01--cheeks08--Eye15--Beak13--NONE--hat16--clothes70
80,bkg01,body01,cheeks07,Eye06,Beak02,NONE,hat72,clothes15,bkg01--body01--cheeks07--Eye06--Beak02--NONE--hat72--clothes15
81,bkg01,body01,cheeks06,Eye30,Beak05,face05,hat77,clothes40,bkg01--body01--cheeks06--Eye30--Beak05--face05--hat77--clothes40
82,bkg01,body01,cheeks13,Eye05,Beak10,face06,hat55,clothes69,bkg01--body01--cheeks13--Eye05--Beak10--face06--hat55--clothes69
83,bkg03,body01,cheeks11,Eye25,Beak08,face01,hat78,clothes02,bkg03--body01--cheeks11--Eye25--Beak08--face01--hat78--clothes02
84,bkg04,body01,cheeks12,Eye12,Beak12,face06,hat51,clothes58,bkg04--body01--cheeks12--Eye12--Beak12--face06--hat51--clothes58
85,bkg07,body01,cheeks11,Eye16,Beak03,face05,hat01,clothes14,bkg07--body01--cheeks11--Eye16--Beak03--face05--hat01--clothes14
86,bkg06,body01,cheeks12,Eye05,Beak09,NONE,hat26,clothes48,bkg06--body01--cheeks12--Eye05--Beak09--NONE--hat26--clothes48
87,bkg04,body01,cheeks04,Eye10,Beak09,NONE,hat42,clothes11,bkg04--body01--cheeks04--Eye10--Beak09--NONE--hat42--clothes11
88,bkg02,body01,cheeks06,Eye17,Beak02,NONE,hat11,clothes43,bkg02--body01--cheeks06--Eye17--Beak02--NONE--hat11--clothes43
89,bkg02,body01,cheeks12,Eye05,Beak11,face03,hat13,clothes16,bkg02--body01--cheeks12--Eye05--Beak11--face03--hat13--clothes16
90,bkg04,body01,cheeks13,Eye27,Beak07,NONE,hat05,clothes18,bkg04--body01--cheeks13--Eye27--Beak07--NONE--hat05--clothes18
91,bkg03,body01,cheeks05,Eye04,Beak11,face01,hat65,clothes12,bkg03--body01--cheeks05--Eye04--Beak11--face01--hat65--clothes12
92,bkg04,body01,cheeks13,Eye19,Beak07,NONE,NONE,clothes36,bkg04--body01--cheeks13--Eye19--Beak07--NONE--NONE--clothes36
93,bkg03,body01,NONE,Eye04,Beak09,NONE,hat77,clothes68,bkg03--body01--NONE--Eye04--Beak09--NONE--hat77--clothes68
94,bkg04,body01,cheeks05,Eye22,Beak11,NONE,hat06,NONE,bkg04--body01--cheeks05--Eye22--Beak11--NONE--hat06--NONE
95,bkg01,body01,NONE,Eye04,Beak07,NONE,hat71,clothes59,bkg01--body01--NONE--Eye04--Beak07--NONE--hat71--clothes59
96,bkg02,body01,cheeks12,Eye05,Beak05,NONE,hat58,clothes77,bkg02--body01--cheeks12--Eye05--Beak05--NONE--hat58--clothes77
97,bkg05,body01,cheeks05,Eye08,Beak01,NONE,hat21,clothes12,bkg05--body01--cheeks05--Eye08--Beak01--NONE--hat21--clothes12
98,bkg07,body01,cheeks12,Eye17,Beak01,NONE,hat44,clothes02,bkg07--body01--cheeks12--Eye17--Beak01--NONE--hat44--clothes02
99,bkg04,body01,cheeks11,Eye05,Beak10,face04,hat33,clothes47,bkg04--body01--cheeks11--Eye05--Beak10--face04--hat33--clothes47
100,bkg05,body01,cheeks1,Eye08,Beak04,NONE,hat02,clothes44,bkg05--body01--cheeks1--Eye08--Beak04--NONE--hat02--clothes44
101,bkg05,body01,cheeks09,Eye08,Beak05,NONE,hat04,clothes49,bkg05--body01--cheeks09--Eye08--Beak05--NONE--hat04--clothes49
102,bkg07,body01,cheeks10,Eye04,Beak04,face03,hat68,clothes55,bkg07--body01--cheeks10--Eye04--Beak04--face03--hat68--clothes55
103,bkg02,body01,cheeks06,Eye06,Beak03,NONE,hat37,clothes46,bkg02--body01--cheeks06--Eye06--Beak03--NONE--hat37--clothes46
104,bkg05,body01,NONE,Eye18,Beak01,NONE,hat77,clothes53,bkg05--body01--NONE--Eye18--Beak01--NONE--hat77--clothes53
105,bkg04,body01,cheeks07,Eye02,Beak05,NONE,NONE,clothes19,bkg04--body01--cheeks07--Eye02--Beak05--NONE--NONE--clothes19
106,bkg07,body01,NONE,Eye17,Beak12,face05,hat63,clothes31,bkg07--body01--NONE--Eye17--Beak12--face05--hat63--clothes31
107,bkg04,body01,cheeks05,Eye04,Beak10,NONE,hat35,clothes01,bkg04--body01--cheeks05--Eye04--Beak10--NONE--hat35--clothes01
108,bkg07,body01,cheeks09,Eye10,Beak11,NONE,hat10,clothes57,bkg07--body01--cheeks09--Eye10--Beak11--NONE--hat10--clothes57
109,bkg04,body01,NONE,Eye20,Beak06,face03,hat19,clothes23,bkg04--body01--NONE--Eye20--Beak06--face03--hat19--clothes23
110,bkg03,body01,cheeks05,Eye05,Beak11,NONE,hat15,clothes72,bkg03--body01--cheeks05--Eye05--Beak11--NONE--hat15--clothes72
111,bkg05,body01,cheeks08,Eye04,Beak03,NONE,hat10,clothes37,bkg05--body01--cheeks08--Eye04--Beak03--NONE--hat10--clothes37
112,bkg04,body01,cheeks02,Eye01,Beak09,NONE,hat15,clothes48,bkg04--body01--cheeks02--Eye01--Beak09--NONE--hat15--clothes48
113,bkg03,body01,cheeks13,Eye07,Beak04,face01,NONE,clothes10,bkg03--body01--cheeks13--Eye07--Beak04--face01--NONE--clothes10
114,bkg03,body01,cheeks12,Eye16,Beak08,NONE,hat06,clothes59,bkg03--body01--cheeks12--Eye16--Beak08--NONE--hat06--clothes59
115,bkg03,body01,cheeks03,Eye14,Beak01,face01,hat10,clothes09,bkg03--body01--cheeks03--Eye14--Beak01--face01--hat10--clothes09
116,bkg04,body01,NONE,Eye01,Beak06,NONE,hat83,NONE,bkg04--body01--NONE--Eye01--Beak06--NONE--hat83--NONE
117,bkg01,body01,cheeks02,Eye19,Beak06,NONE,hat08,clothes36,bkg01--body01--cheeks02--Eye19--Beak06--NONE--hat08--clothes36
118,bkg06,body01,cheeks13,Eye25,Beak07,NONE,hat76,clothes60,bkg06--body01--cheeks13--Eye25--Beak07--NONE--hat76--clothes60
119,bkg02,body01,cheeks05,Eye02,Beak09,NONE,hat29,clothes29,bkg02--body01--cheeks05--Eye02--Beak09--NONE--hat29--clothes29
120,bkg05,body01,cheeks08,Eye06,Beak09,NONE,hat39,clothes64,bkg05--body01--cheeks08--Eye06--Beak09--NONE--hat39--clothes64
121,bkg04,body01,cheeks04,Eye08,Beak10,NONE,hat29,clothes15,bkg04--body01--cheeks04--Eye08--Beak10--NONE--hat29--clothes15
122,bkg02,body01,cheeks05,Eye19,Beak04,NONE,hat62,clothes35,bkg02--body01--cheeks05--Eye19--Beak04--NONE--hat62--clothes35
123,bkg06,body01,cheeks04,Eye25,Beak08,NONE,hat79,clothes38,bkg06--body01--cheeks04--Eye25--Beak08--NONE--hat79--clothes38
124,bkg07,body01,cheeks08,Eye22,Beak10,NONE,hat37,clothes68,bkg07--body01--cheeks08--Eye22--Beak10--NONE--hat37--clothes68
125,bkg02,body01,NONE,Eye20,Beak03,face01,hat24,clothes77,bkg02--body01--NONE--Eye20--Beak03--face01--hat24--clothes77
126,bkg06,body01,cheeks12,Eye13,Beak05,NONE,hat78,clothes60,bkg06--body01--cheeks12--Eye13--Beak05--NONE--hat78--clothes60
127,bkg04,body01,cheeks10,Eye16,Beak02,NONE,hat55,clothes48,bkg04--body01--cheeks10--Eye16--Beak02--NONE--hat55--clothes48
128,bkg01,body01,cheeks05,Eye01,Beak10,NONE,hat81,clothes28,bkg01--body01--cheeks05--Eye01--Beak10--NONE--hat81--clothes28
129,bkg03,body01,cheeks05,Eye06,Beak11,NONE,hat24,clothes53,bkg03--body01--cheeks05--Eye06--Beak11--NONE--hat24--clothes53
130,bkg04,body01,cheeks10,Eye15,Beak01,NONE,hat05,clothes62,bkg04--body01--cheeks10--Eye15--Beak01--NONE--hat05--clothes62
131,bkg01,body01,NONE,Eye05,Beak07,face01,hat16,clothes57,bkg01--body01--NONE--Eye05--Beak07--face01--hat16--clothes57
132,bkg06,body01,NONE,Eye18,Beak12,NONE,hat27,clothes60,bkg06--body01--NONE--Eye18--Beak12--NONE--hat27--clothes60
133,bkg07,body01,cheeks05,Eye02,Beak03,NONE,hat49,clothes73,bkg07--body01--cheeks05--Eye02--Beak03--NONE--hat49--clothes73
134,bkg03,body01,cheeks1,Eye23,Beak01,face01,hat17,clothes51,bkg03--body01--cheeks1--Eye23--Beak01--face01--hat17--clothes51
135,bkg05,body01,cheeks13,Eye15,Beak10,face07,hat26,clothes41,bkg05--body01--cheeks13--Eye15--Beak10--face07--hat26--clothes41
136,bkg03,body01,cheeks10,Eye01,Beak04,face03,hat25,clothes35,bkg03--body01--cheeks10--Eye01--Beak04--face03--hat25--clothes35
137,bkg03,body01,NONE,Eye26,Beak03,face04,hat07,clothes16,bkg03--body01--NONE--Eye26--Beak03--face04--hat07--clothes16
138,bkg05,body01,cheeks13,Eye10,Beak12,NONE,hat07,clothes29,bkg05--body01--cheeks13--Eye10--Beak12--NONE--hat07--clothes29
139,bkg05,body01,cheeks12,Eye25,Beak03,face10,hat52,clothes24,bkg05--body01--cheeks12--Eye25--Beak03--face10--hat52--clothes24
140,bkg05,body01,cheeks13,Eye07,Beak09,face01,hat34,clothes63,bkg05--body01--cheeks13--Eye07--Beak09--face01--hat34--clothes63
141,bkg06,body01,cheeks13,Eye19,Beak09,NONE,NONE,clothes40,bkg06--body01--cheeks13--Eye19--Beak09--NONE--NONE--clothes40
142,bkg01,body01,NONE,Eye08,Beak06,face03,hat81,clothes11,bkg01--body01--NONE--Eye08--Beak06--face03--hat81--clothes11
143,bkg05,body01,NONE,Eye20,Beak07,NONE,hat51,clothes21,bkg05--body01--NONE--Eye20--Beak07--NONE--hat51--clothes21
144,bkg05,body01,cheeks06,Eye07,Beak04,NONE,hat14,clothes38,bkg05--body01--cheeks06--Eye07--Beak04--NONE--hat14--clothes38
145,bkg01,body01,cheeks04,Eye16,Beak04,face01,NONE,clothes65,bkg01--body01--cheeks04--Eye16--Beak04--face01--NONE--clothes65
146,bkg03,body01,cheeks05,Eye03,Beak10,NONE,hat61,clothes62,bkg03--body01--cheeks05--Eye03--Beak10--NONE--hat61--clothes62
147,bkg07,body01,NONE,Eye07,Beak07,face07,hat25,clothes37,bkg07--body01--NONE--Eye07--Beak07--face07--hat25--clothes37
148,bkg02,body01,cheeks11,Eye12,Beak01,face04,hat44,NONE,bkg02--body01--cheeks11--Eye12--Beak01--face04--hat44--NONE
149,bkg04,body01,cheeks05,Eye07,Beak13,NONE,hat82,NONE,bkg04--body01--cheeks05--Eye07--Beak13--NONE--hat82--NONE
150,bkg01,body01,cheeks08,Eye05,Beak13,NONE,hat12,clothes49,bkg01--body01--cheeks08--Eye05--Beak13--NONE--hat12--clothes49
151,bkg04,body01,cheeks08,Eye01,Beak06,NONE,hat12,clothes41,bkg04--body01--cheeks08--Eye01--Beak06--NONE--hat12--clothes41
152,bkg01,body01,cheeks13,Eye30,Beak01,NONE,hat53,clothes60,bkg01--body01--cheeks13--Eye30--Beak01--NONE--hat53--clothes60
153,bkg02,body01,cheeks11,Eye01,Beak11,NONE,hat48,clothes63,bkg02--body01--cheeks11--Eye01--Beak11--NONE--hat48--clothes63
154,bkg05,body01,cheeks10,Eye24,Beak05,face06,hat35,clothes83,bkg05--body01--cheeks10--Eye24--Beak05--face06--hat35--clothes83
155,bkg04,body01,NONE,Eye07,Beak11,NONE,hat07,clothes48,bkg04--body01--NONE--Eye07--Beak11--NONE--hat07--clothes48
156,bkg05,body01,cheeks08,Eye25,Beak08,NONE,hat63,clothes20,bkg05--body01--cheeks08--Eye25--Beak08--NONE--hat63--clothes20
157,bkg06,body01,NONE,Eye19,Beak04,NONE,hat01,clothes14,bkg06--body01--NONE--Eye19--Beak04--NONE--hat01--clothes14
158,bkg01,body01,cheeks04,Eye04,Beak03,face03,NONE,clothes61,bkg01--body01--cheeks04--Eye04--Beak03--face03--NONE--clothes61
159,bkg02,body01,NONE,Eye03,Beak13,NONE,hat42,clothes58,bkg02--body01--NONE--Eye03--Beak13--NONE--hat42--clothes58
160,bkg07,body01,cheeks05,Eye22,Beak06,NONE,hat03,clothes56,bkg07--body01--cheeks05--Eye22--Beak06--NONE--hat03--clothes56
161,bkg07,body01,cheeks06,Eye13,Beak02,NONE,hat33,clothes08,bkg07--body01--cheeks06--Eye13--Beak02--NONE--hat33--clothes08
162,bkg07,body01,cheeks10,Eye14,Beak08,face01,hat06,clothes72,bkg07--body01--cheeks10--Eye14--Beak08--face01--hat06--clothes72
163,bkg05,body01,cheeks05,Eye05,Beak09,NONE,hat25,NONE,bkg05--body01--cheeks05--Eye05--Beak09--NONE--hat25--NONE
164,bkg04,body01,cheeks08,Eye10,Beak10,NONE,hat63,clothes25,bkg04--body01--cheeks08--Eye10--Beak10--NONE--hat63--clothes25
165,bkg06,body01,cheeks11,Eye01,Beak13,face01,hat84,clothes49,bkg06--body01--cheeks11--Eye01--Beak13--face01--hat84--clothes49
166,bkg02,body01,NONE,Eye03,Beak01,NONE,hat54,clothes23,bkg02--body01--NONE--Eye03--Beak01--NONE--hat54--clothes23
167,bkg06,body01,cheeks11,Eye20,Beak04,NONE,hat34,clothes64,bkg06--body01--cheeks11--Eye20--Beak04--NONE--hat34--clothes64
168,bkg02,body01,cheeks09,Eye02,Beak04,NONE,hat06,clothes83,bkg02--body01--cheeks09--Eye02--Beak04--NONE--hat06--clothes83
169,bkg03,body01,cheeks10,Eye24,Beak12,NONE,hat11,clothes29,bkg03--body01--cheeks10--Eye24--Beak12--NONE--hat11--clothes29
170,bkg05,body01,cheeks06,Eye01,Beak07,NONE,hat32,clothes72,bkg05--body01--cheeks06--Eye01--Beak07--NONE--hat32--clothes72
171,bkg03,body01,NONE,Eye11,Beak08,face01,hat32,clothes30,bkg03--body01--NONE--Eye11--Beak08--face01--hat32--clothes30
172,bkg03,body01,cheeks04,Eye01,Beak13,NONE,hat18,clothes55,bkg03--body01--cheeks04--Eye01--Beak13--NONE--hat18--clothes55
173,bkg06,body01,cheeks08,Eye08,Beak01,NONE,hat17,clothes68,bkg06--body01--cheeks08--Eye08--Beak01--NONE--hat17--clothes68
174,bkg06,body01,cheeks11,Eye11,Beak07,face01,hat19,clothes05,bkg06--body01--cheeks11--Eye11--Beak07--face01--hat19--clothes05
175,bkg03,body01,cheeks10,Eye01,Beak02,face03,hat18,clothes09,bkg03--body01--cheeks10--Eye01--Beak02--face03--hat18--clothes09
176,bkg01,body01,cheeks13,Eye19,Beak09,NONE,hat19,clothes78,bkg01--body01--cheeks13--Eye19--Beak09--NONE--hat19--clothes78
177,bkg01,body01,cheeks11,Eye25,Beak06,face01,hat38,clothes72,bkg01--body01--cheeks11--Eye25--Beak06--face01--hat38--clothes72
178,bkg04,body01,cheeks06,Eye19,Beak06,NONE,hat64,clothes18,bkg04--body01--cheeks06--Eye19--Beak06--NONE--hat64--clothes18
179,bkg04,body01,cheeks13,Eye26,Beak11,NONE,hat67,clothes65,bkg04--body01--cheeks13--Eye26--Beak11--NONE--hat67--clothes65
180,bkg06,body01,cheeks04,Eye22,Beak08,NONE,hat05,clothes60,bkg06--body01--cheeks04--Eye22--Beak08--NONE--hat05--clothes60
181,bkg04,body01,cheeks1,Eye14,Beak06,face01,hat63,clothes69,bkg04--body01--cheeks1--Eye14--Beak06--face01--hat63--clothes69
182,bkg03,body01,cheeks05,Eye24,Beak10,face10,hat35,clothes17,bkg03--body01--cheeks05--Eye24--Beak10--face10--hat35--clothes17
183,bkg07,body01,cheeks11,Eye07,Beak08,face01,hat62,clothes04,bkg07--body01--cheeks11--Eye07--Beak08--face01--hat62--clothes04
184,bkg07,body01,NONE,Eye07,Beak01,face10,hat43,clothes27,bkg07--body01--NONE--Eye07--Beak01--face10--hat43--clothes27
185,bkg01,body01,NONE,Eye04,Beak11,face10,hat76,clothes20,bkg01--body01--NONE--Eye04--Beak11--face10--hat76--clothes20
186,bkg01,body01,cheeks05,Eye04,Beak03,face10,hat22,clothes29,bkg01--body01--cheeks05--Eye04--Beak03--face10--hat22--clothes29
